,Unnamed: 0,airline,departure,destination,layover,price,stops,travelTime,airlineCode,departureCode,destinationCode,layoverCode
247,247,United,CHS,EWR,ORD,301,1,5.8,24.0,67.0,39.0,71.0
248,248,JetBlue Airways,CHS,EWR,FLL,308,1,6.63,50.0,67.0,39.0,77.0
249,249,United,CHS,EWR,ZZZ,314,0,2.25,24.0,67.0,39.0,73.0
250,250,JetBlue Airways,CHS,EWR,BOS,321,1,7.57,50.0,67.0,39.0,21.0
251,251,JetBlue Airways,CHS,EWR,BOS,327,1,8.87,50.0,67.0,39.0,21.0
252,252,United,CHS,EWR,ZZZ,346,0,2.23,24.0,67.0,39.0,73.0
253,253,American Airlines,CHS,EWR,CLT,353,1,4.0,61.0,67.0,39.0,75.0
254,254,American Airlines,CHS,EWR,CLT,353,1,4.65,61.0,67.0,39.0,75.0
255,255,American Airlines,CHS,EWR,CLT,353,1,5.62,61.0,67.0,39.0,75.0
256,256,American Airlines,CHS,EWR,CLT,353,1,7.12,61.0,67.0,39.0,75.0
257,257,Delta,CHS,EWR,ATL,354,1,4.0,81.0,67.0,39.0,45.0
258,258,Delta,CHS,EWR,ATL,354,1,4.87,81.0,67.0,39.0,45.0
259,259,Delta,CHS,EWR,ATL,354,1,5.0,81.0,67.0,39.0,45.0
260,260,Delta,CHS,EWR,ATL,354,1,5.07,81.0,67.0,39.0,45.0
261,261,Delta,CHS,EWR,ATL,354,1,5.48,81.0,67.0,39.0,45.0
262,262,Delta,CHS,EWR,ATL,354,1,5.68,81.0,67.0,39.0,45.0
263,263,Delta,CHS,EWR,ATL,354,1,6.0,81.0,67.0,39.0,45.0
264,264,Delta,CHS,EWR,ATL,354,1,6.68,81.0,67.0,39.0,45.0
265,265,Delta,CHS,EWR,ATL,354,1,6.73,81.0,67.0,39.0,45.0
266,266,Delta,CHS,EWR,ATL,354,1,6.93,81.0,67.0,39.0,45.0
267,267,Delta,CHS,EWR,DTW,431,1,5.02,81.0,67.0,39.0,18.0
268,268,Delta,CHS,EWR,ATL,431,1,5.33,81.0,67.0,39.0,45.0
269,269,Delta,CHS,LAS,ATL,167,1,7.23,81.0,67.0,32.0,45.0
270,270,Delta,CHS,LAS,ATL,167,1,7.75,81.0,67.0,32.0,45.0
271,271,Delta,CHS,LAS,ATL,167,1,8.97,81.0,67.0,32.0,45.0
272,272,American Airlines,CHS,LAS,CLT,182,1,9.23,61.0,67.0,32.0,75.0
273,273,American Airlines,CHS,LAS,CLT,215,1,7.35,61.0,67.0,32.0,75.0
274,274,American Airlines,CHS,LAS,CLT,215,1,7.4,61.0,67.0,32.0,75.0
275,275,American Airlines,CHS,LAS,CLT,215,1,7.62,61.0,67.0,32.0,75.0
276,276,American Airlines,CHS,LAS,CLT,215,1,9.32,61.0,67.0,32.0,75.0
277,277,Delta,CHS,LAS,ATL,229,1,6.23,81.0,67.0,32.0,45.0
278,278,Delta,CHS,LAS,ATL,229,1,8.28,81.0,67.0,32.0,45.0
279,279,United,CHS,LAS,IAH,246,1,7.5,24.0,67.0,32.0,5.0
280,280,United,CHS,LAS,ORD,246,1,8.18,24.0,67.0,32.0,71.0
281,281,Delta,CHS,LAS,ATL,264,1,7.23,81.0,67.0,32.0,45.0
282,282,American Airlines,CHS,LAS,DFW,304,1,9.4,61.0,67.0,32.0,42.0
283,283,Delta,CHS,LAS,ATL,319,1,6.6,81.0,67.0,32.0,45.0
284,284,Delta,CHS,LAS,ATL,319,1,8.05,81.0,67.0,32.0,45.0
285,285,JetBlue Airways,CHS,LAS,JFK,347,1,9.0,50.0,67.0,32.0,52.0
286,286,American Airlines,CHS,LAS,DFW,359,1,8.75,61.0,67.0,32.0,42.0
287,287,United,CHS,LAS,IAH,366,1,6.92,24.0,67.0,32.0,5.0
288,288,United,CHS,LAS,ORD,366,1,7.88,24.0,67.0,32.0,71.0
289,289,United,CHS,LAS,IAH,366,1,9.6,24.0,67.0,32.0,5.0
290,290,American Airlines,CHS,LAS,DFW,403,1,7.25,61.0,67.0,32.0,42.0
291,291,American Airlines,CHS,LAS,DFW,404,1,7.08,61.0,67.0,32.0,42.0
292,292,United,CHS,LAS,ORD,425,1,7.88,24.0,67.0,32.0,71.0
293,293,American Airlines,CHS,LAS,MIA,425,1,8.35,61.0,67.0,32.0,64.0
294,294,United,CHS,LAS,EWR,425,1,11.45,24.0,67.0,32.0,39.0
295,295,JetBlue Airways,CHS,LAS,BOS,429,1,9.5,50.0,67.0,32.0,21.0
296,296,JetBlue Airways,CHS,LAS,BOS,429,1,10.8,50.0,67.0,32.0,21.0
297,297,United,CHS,LAS,EWR,453,1,9.87,24.0,67.0,32.0,39.0
298,298,JetBlue Airways,CHS,LAS,JFK,456,1,8.42,50.0,67.0,32.0,52.0
299,299,United,CHS,LAS,IAD,464,1,7.42,24.0,67.0,32.0,10.0
300,300,United,CHS,LAS,IAD,489,1,7.3,24.0,67.0,32.0,10.0
301,301,Alaska Airlines,CHS,LAS,SEA,587,1,10.67,40.0,67.0,32.0,54.0
302,302,American Airlines,CHS,LAS,CLT,842,1,7.15,61.0,67.0,32.0,75.0
303,303,JetBlue Airways,CHS,JFK,ZZZ,154,0,2.23,50.0,67.0,52.0,73.0
